product_id,product_name,unit_price
0,product_0,22
1,product_1,2
2,product_2,6
3,product_3,3
4,product_4,12
5,product_5,10
6,product_6,8
7,product_7,15
8,product_8,5
9,product_9,10
10,product_10,10
11,product_11,4
12,product_12,3
13,product_13,10
14,product_14,13
15,product_15,15
16,product_16,14
17,product_17,4
18,product_18,11
19,product_19,14
20,product_20,1
21,product_21,7
22,product_22,7
23,product_23,2
24,product_24,10
25,product_25,1
26,product_26,3
27,product_27,12
28,product_28,5
29,product_29,1
30,product_30,12
31,product_31,3
32,product_32,6
33,product_33,9
34,product_34,9
35,product_35,14
36,product_36,3
37,product_37,14
38,product_38,1
39,product_39,2
40,product_40,9
41,product_41,9
42,product_42,3
43,product_43,1
44,product_44,4
45,product_45,10
46,product_46,14
47,product_47,5
48,product_48,1
49,product_49,9